x,y,species cloglog values
156.0,156.0,0.00950038
157.0,157.0,0.22334242
158.0,158.0,0.032567773
159.0,159.0,0.69341403
160.0,160.0,0.7316679
161.0,161.0,0.009426671
162.0,162.0,0.31985918
163.0,163.0,0.0041533588
164.0,164.0,0.0048061614
165.0,165.0,0.028409805
166.0,166.0,0.0067257546
167.0,167.0,0.04040076
168.0,168.0,0.02705895
169.0,169.0,0.55809665
170.0,170.0,0.0062658223
171.0,171.0,0.042396285
172.0,172.0,0.29697192
173.0,173.0,0.13271113
174.0,174.0,0.008254196
175.0,175.0,0.031545956
176.0,176.0,1.06423695E-5
177.0,177.0,0.43850818
178.0,178.0,0.12628296
179.0,179.0,0.0326022
180.0,180.0,0.012191431
181.0,181.0,0.5492245
182.0,182.0,0.21164165
183.0,183.0,0.009824025
184.0,184.0,0.44677716
185.0,185.0,0.5320478
186.0,186.0,0.010257639
187.0,187.0,0.0053209485
188.0,188.0,0.13991502
189.0,189.0,0.035284065
190.0,190.0,0.0135491155
191.0,191.0,0.495906
192.0,192.0,0.22426003
193.0,193.0,0.008566488
194.0,194.0,0.16915585
195.0,195.0,0.56482834
196.0,196.0,0.03442477
197.0,197.0,0.022973463
198.0,198.0,0.012477914
199.0,199.0,0.07323099
200.0,200.0,0.5033084
201.0,201.0,0.0034007963
202.0,202.0,0.0072636977
203.0,203.0,0.13289593
204.0,204.0,0.517085
205.0,205.0,0.45099032
206.0,206.0,0.33047363
207.0,207.0,0.26564416
208.0,208.0,0.67129856
209.0,209.0,0.015356475
210.0,210.0,0.3626332
211.0,211.0,0.27219954
212.0,212.0,0.014921721
213.0,213.0,0.45608616
214.0,214.0,0.023269305
215.0,215.0,0.23626845
216.0,216.0,0.010647866
217.0,217.0,0.04089187
218.0,218.0,0.065975115
219.0,219.0,0.23790614
220.0,220.0,0.46935132
221.0,221.0,0.04101151
222.0,222.0,0.021802811
223.0,223.0,0.020026831
224.0,224.0,0.6342693
225.0,225.0,0.63210255
226.0,226.0,0.42019603
227.0,227.0,0.011912795
228.0,228.0,6.9930495E-5
229.0,229.0,0.0419282
230.0,230.0,0.096747674
231.0,231.0,0.004984544
232.0,232.0,0.31250456
233.0,233.0,0.5903728
234.0,234.0,0.10289465
235.0,235.0,0.100841805
236.0,236.0,0.038841065
237.0,237.0,0.109691374
238.0,238.0,0.015213788
239.0,239.0,0.019616606
240.0,240.0,0.06153433
241.0,241.0,0.099564046
242.0,242.0,0.017482694
243.0,243.0,4.777896E-5
244.0,244.0,0.6006693
245.0,245.0,0.20576409
246.0,246.0,0.29589322
247.0,247.0,0.017180944
248.0,248.0,0.1482641
249.0,249.0,0.6098103
250.0,250.0,0.012370947
251.0,251.0,0.0140458895
252.0,252.0,0.63082486
253.0,253.0,0.5159607
254.0,254.0,0.023780962
255.0,255.0,0.5612218
256.0,256.0,0.094850756
257.0,257.0,0.019872162
258.0,258.0,0.0034074693
259.0,259.0,0.22430147
260.0,260.0,0.09736478
261.0,261.0,0.02974294
262.0,262.0,0.5945138
263.0,263.0,0.00749914
264.0,264.0,0.48933622
265.0,265.0,0.041314308
266.0,266.0,0.018685915
267.0,267.0,0.019976249
268.0,268.0,0.08318996
269.0,269.0,0.012671325
270.0,270.0,0.10145006
271.0,271.0,0.21148418
272.0,272.0,3.4966393E-4
273.0,273.0,0.2643448
274.0,274.0,0.12701917
275.0,275.0,0.015325953
276.0,276.0,2.922767E-5
277.0,277.0,0.012983405
278.0,278.0,0.31350335
279.0,279.0,4.999899E-4
280.0,280.0,0.025027707
281.0,281.0,0.005755969
282.0,282.0,0.28265986
283.0,283.0,0.039446864
284.0,284.0,0.11616652
285.0,285.0,0.1555925
286.0,286.0,0.024375707
287.0,287.0,0.60828024
288.0,288.0,0.017199207
289.0,289.0,0.1873488
290.0,290.0,0.056358483
